id;numero;whatsapp
cfead0e6-e391-4fcb-aa04-dd9fbac1b397;withdrawal Bedfordshire;true
e7494518-61db-4cdf-90c2-098dbccd3f45;Myanmar;false
3886cda2-67a5-424a-9e11-473ff2873bcf;Ilhas Bacon;true
5897a94b-ac00-42e6-b739-032514ec8032;ADP Calças;true
625ead0e-ed93-42e7-ab3e-c434667e2042;Dynamic;false
5ac7e108-64fd-47b6-9598-5612a9a46fed;âmbar;true
c096e990-d9e6-4ff2-b5bb-741bee6cf7fd;Refinado Fantástico;false
1b0b44c2-ca25-4660-922a-39d120b581ef;parsing driver navigating;true
cc888390-e662-4321-a55a-f316984aa4d5;Sergipe;true
9ae464f0-f781-42cd-bc6e-a740491da7de;cobre sensor integrated;true
